"DIVIPOLA","Departamento","Municipio","Número de Atenciones 2017","Número de Atenciones 2018","Número de Atenciones 2019","Número de Personas Atendidas 2017","Número de Personas Atendidas 2018","Número de Personas Atendidas 2019","Variación 2017 -2018","Variación 2018 - 2019","Total Número de embarazos, partos y puerperios","Total Número de Personas Atendidas de embarazos, partos y puerperios","tasa representativa (aproximación)","Tasa representativa "
"-----","-----","-----","2017","2018","2019","2017","2018","2019","--------","--------","--------","--------","--------","--------"
"-----","-----","-----","3782","31823","40232","1230","11678","17631","89.467374550437","33.764392263627","0","0","#DIV/0!","40%"
"11001","Bogotá, D.C.","     ","160","3387","4980","45","2407","3555","0.98130452845866","0.32292545710267","8527","6003","1 ??/11","70%"
"54001","Norte de Santander","Cúcuta     ","951","6979","5636","336","2067","2007","0.83744557329463","-0.029895366218236","13566","4405","0 ??/10","32%"
"44001","La Guajira","Riohacha     ","110","502","2093","89","398","1480","0.77638190954774","0.73108108108108","2705","1576","1 ??/11","58%"
"44430","La Guajira","Maicao     ","32","428","4288","16","162","1397","0.90123456790123","0.8840372226199","4748","1544","0 ??/10","33%"
"5001"," Antioquia","Medellín     ","34","1323","1927","9","705","1264","0.98723404255319","0.44224683544304","3284","1976","1 ??/11","60%"
"20001","Cesar","Valledupar     ","78","418","798","56","301","489","0.81395348837209","0.38445807770961","1294","843","1 ??/11","65%"
"8001","Atlántico","Barranquilla     ","481","2117","1461","143","579","445","0.75302245250432","-0.30112359550562","4059","1166","0 ??/10","29%"
"81001","Arauca","Arauca     ","45","666","1062","19","278","393","0.93165467625899","0.29262086513995","1773","677","0 ??/10","38%"
"68001","Santander","Bucaramanga     ","","85","628","","50","388","1","0.87113402061856","713","412","1 ??/11","58%"
"54874","Norte de Santander","Villa Del Rosario   ","112","853","676","39","256","250","0.84765625","-0.024","1641","544","0 ??/10","33%"
"25754","Cundinamarca","Soacha     ","208","1037","825","27","178","246","0.84831460674157","0.27642276422764","2070","424","0 ??/10","20%"
"54498","Norte de Santander","Ocaña     ","47","200","617","10","137","181","0.92700729927007","0.24309392265193","864","327","0 ??/10","38%"
"8758","Atlántico","Soledad     ","","701","341","","388","168","1","-1.3095238095238","1042","556","1 ??/11","53%"
